,on time,off time,F_1,F_2,F_3,F_4,F_5,F_6,F_7,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9
event_1_1,0,17,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
event_1_2,17,34,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
event_2_1,34,51,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
event_2_2,51,69,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
event_3_1,69,86,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
event_3_2,86,103,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
event_4_1,103,121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
event_4_2,121,140,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
event_5_1,140,158,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
event_5_2,158,176,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
event_6_1,176,192,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
event_6_2,192,209,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
event_7_1,209,226,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
event_7_2,226,243,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
event_8_1,243,259,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
event_8_2,259,276,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
event_9_1,276,294,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
event_9_2,294,313,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
event_10_1,313,329,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
event_10_2,329,346,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
event_11_1,346,364,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
event_11_2,364,382,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
event_12_1,382,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
event_12_2,401,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
event_13_1,421,439,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
event_13_2,439,458,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
event_14_1,458,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
event_14_2,474,491,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
event_15_1,491,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
event_15_2,509,527,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
event_16_1,527,546,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
event_16_2,546,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
event_17_1,566,583,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
event_17_2,583,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
