event number,on time,off time,event summary,sub-001,sub-002,sub-003,sub-004,sub-005,sub-006,sub-013,sub-014,sub-015,sub-016,sub-017,sub-018,sub-019,sub-020,sub-021,sub-022,sub-023,sub-024,sub-025,sub-027,sub-028,sub-029,sub-030,sub-031,sub-032,sub-033,sub-034,sub-035,sub-038,sub-039,sub-040,sub-043,sub-044,sub-049,sub-050,sub-057,sub-058,sub-060,sub-061,sub-062,sub-063,sub-072,sub-075,sub-078,sub-082,sub-083,sub-086,sub-087,sub-089,sub-090,sub-092,sub-095,sub-096,sub-042,dictionary
1,0,8,미스터빈이 영국 미술관에 도착하여 차를 주차함,1,,1,1,3,1,1,1,,1,1,1,1,4,,1,1,1,2,1,,1,1,1,,,1,1,1,1,,7,1,2,1,1,1,1,,,1,1,1,1,2,1,1,1,1,2,1,,1,1,유니언
2,8,20,미스터빈이 주차 단속 경찰을 발견하고 어떻게 피할지 궁리함,2,,2,2,4,,2,2,,,2,,2,5,,,2,2,3,2,,2,2,2,,2,2,2,,2,,8,,3,,,2,2,,,2,2,2,,3,,,2,,3,2,,,2,"벌금, 아줌마, 아주머니"
3,20,42,미스터빈이 다리 모형과 스패너를 이용해서 자동차 수리하는 척 함,3,,3,3,5,,3,3,,13,3,,3,6,,,3,3,4,3,,3,3,3,,3,3,3,,3,,9,,4,,2,3,3,,,3,3,3,6,4,,,3,,4,3,12,2,3,"가짜, 공구, 꼼수, 꾸미다, 속임, 속임수, 속이다, 정비, 정비공, 하반신, 하체 "
4,42,52,"미스터빈이 미술관 들어감, 미술관 사진 찍음",4,1,4,,6,,4,4,5,,4,2,4,7,,2,,4,5,4,,4,,,2,4,4,4,,4,,10,,5,,3,4,4,,,4,4,4,,,,,4,,,4,,3,4,
5,52,68,주차단속경찰이 미스터빈의 차를 발견하지만 단속하지 않음,,,,4,,,5,5,,,5,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
6,68,98,"나폴레옹 그림 발견, 화장실 쪽으로 돌려놓음",,,,5,,,,,,,,,,9,,,,5,,5,,,,,,,,,,8,,,,6,2,,6,6,,,,5,,,,,,,,,,,,,"각도, 대각선, 손끝, 액자, 화살표"
7,98,106,졸고 있는 경비 발견 ,,,,,,,6,,,2,,3,,8,,,,6,,,,,,4,,,5,,,,,,,,,,5,5,,,,,,,,2,,,,,,,,,
8,106,120,누드 조각상 보고 민망해함,5,2,5,6,7,,7,6,6,3,6,,,10,1,3,,7,,,10,5,,5,,,6,,,6,4,,,,,,,7,,,5,6,,,,,2,,,,,,,,"눈꼴, 다비드상, 외설, 헐벗"
9,120,126,해바라기 그림 감상,6,3,,,,3,8,7,,,,4,,11,3,,,,,6,,7,,7,,,8,,,,1,,,7,,,,8,,2,,,,,,,,5,,,5,,,5,
10,126,138,카메라로 해바라기 그림 촬영,7,,6,,,,9,8,,5,7,5,5,12,,,5,8,,7,11,8,,8,,,,,,,2,12,2,8,,,8,9,,,,8,5,,5,,,,,,6,,,6,
