,Start time,End time,Cut idx,Scene idx,Annotation RJH->KWJ->KTL,,,,,,,,,,,,,,,,,,,,
1,0:00:00,0:00:02,1,4,A small purple car is parked and there is a fume coming out at the front mrbean is walking very lightly to the trunk looking delighted,,,,,,,,,,,,,,,,,,,,
,,,,,This is a cartoon There is a blue purple car showing at the beginning of the scene The front part of the car is fuming out some smoke A man joyfully skips towards the car and opens the car trunk,,,,,,,,,,,,,,,,,,,,
,,,,,mrbean walks to a blue car which seems to be broken because there is smoke coming out of its engine The car may have crashed into the base of the Eiffel Tower,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2,0:00:02,0:00:04,1,4,He opens the trunk and gets a big briefcase that is as big as him His body is almost not seen when he is getting the briefcase,,,,,,,,,,,,,,,,,,,,
,,,,,The man slightly laughs and takes out a black suitcase from the trunk Is he stealing that Is he an evil character,,,,,,,,,,,,,,,,,,,,
,,,,,He opens the trunk of the car and takes out a suitcase,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
3,0:00:04,0:00:06,1,4,He turns around and mumbles something at the briefcase while holding it up and takes a big step marching to the opposite of the car while leaving the trunk open Why did he not close the trunk Is it not his car should he not take care of his stuff,,,,,,,,,,,,,,,,,,,,
,,,,,The man laughs while looking at the suitcase and gets away from the car The music is really cartoon It hints that he is getting away Then the camera shifts to showing a man in the driver seat of the car The driver face is really long,,,,,,,,,,,,,,,,,,,,
,,,,,The car had actually crashed and the driver is still in his seat,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
4,0:00:06,0:00:08,1,4,There is a shady looking guy wearing a coat and gloves in the front seat and the front part of the car looks damaged The guy looks perplexed and constantly rubbing his face The fume is still coming out in the front,,,,,,,,,,,,,,,,,,,,
,,,,,The driver squints his face and try to start the car The car engine does not work the car does not start It looks like the driver crashed into a building or an obstacle by accident or by speeding up too much The front part of the car is completely ruined that is why it is fuming,,,,,,,,,,,,,,,,,,,,
,,,,,The car had actually crashed and the driver is still in his seat He tries starting the car,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
