before,after
갤러리,미술관
경관,경찰
경보기,경보
경찰서,경찰
고치,고치다
꽃사진,해바라기
내셔널,미술관
넘어가다,넘다
넘어서다,넘다
넘어오다,넘다
도둑질,도둑
도피,도망
도서관,미술관
들어서다,들어오다
런던,영국
렌츠,스패너
몽키,스패너
몽키스,스패너
미술사,미술관
미술품,그림
미술,그림
미슬,그림
박물,미술관
반고흐,미술관
방범,레이저
배타,배
벨,경보
보넷,보닛
보안관,경찰
보티첼리,미술관
붙이,붙다
붙이다,붙다
비너,비너스
빈센트,미술관
사이렌,경보
서류가방,가방
스피너,스패너
악당,도둑
여고생,학생
예술,그림
예술가,그림
요괴,마임
유치원,학생
음부,성기
인형,마임
적외선,레이저
전시관,미술관
전시장,미술관
전시회장,미술관
전시회,미술관
절도,도둑
주인,주인공
중절모,도둑
쫓기다,쫒다
쫓아가다,쫒다
초등,학생
초등학생,학생
케이스,가방
탄생,비너스
파랑색,파란색
판토마임,마임
페너,스패너
프랑,프랑스
행위,마임
행위예술,마임
행위예술가,마임
